soil,temp,humidity,need water
303.1,52.1,25.8,no
303.1,52.1,25.8,no
303.1,52.2,25.8,no
303.1,52.2,25.8,no
303.1,52.2,25.8,no
303.1,52.2,25.8,no
303.1,52.3,20.1,no
303.1,52.3,20.1,no
303.1,52.3,16.5,no
303.1,52.3,16.5,no
303.1,52.3,16.5,no
303.1,52.3,16.5,no
303.1,52.3,16.5,no
303.1,52.3,16.5,no
299.1,52.3,20,no
299.1,52.3,20,no
299.1,52.3,20,no
299.1,52.3,20,no
299.1,52.3,20,no
299.1,52.3,20,no
299.1,52.3,20,no
299.1,52.3,20,no
299.1,52.2,20,no
299.1,52.2,20,no
299.1,52.2,20,no
299.1,52.2,20,no
299.1,52.2,20,no
299.1,52.2,20,no
297.2,52.2,20,no
297.2,52.2,20,no
297.2,52.2,20,no
297.2,52.2,20,no
297.2,52.2,20,no
297.2,52.2,20,no
297.2,52.2,20,no
297.2,52.2,20,no
297.2,52.1,20,no
297.2,52.1,20,no
297.2,52.1,20,no
297.2,52.1,20,no
295.3,52.1,20,no
295.3,52.1,20,no
295.3,52,20,no
295.3,52,20,no
295.3,52.1,20,no
295.3,52.1,20,no
295.3,52,20,no
295.3,52,20,no
295.3,52,20,no
295.3,52,20,no
295.3,52.1,20,no
288.8,52.1,20,no
288.8,52.1,20,no
288.8,52.1,20,no
288.8,52.1,20,no
288.8,52.1,20,no
288.8,52.1,20,no
288.8,52.1,20,no
289.2,52.1,20,no
289.2,52.1,20,no
289.2,52.2,20,no
289.2,52.2,20,no
289.2,52.2,20,no
289.2,52.2,20,no
289.2,52.3,20,no
289.2,52.3,20,no
289.2,52.3,20,no
289.2,52.3,20,no
289.2,52.4,20,no
289.2,52.4,20,no
234.1,52.4,20,no
286,52.4,20,no
285,52.5,20,no
285,52.5,20,no
285,52.5,20,no
285,52.5,20,no
284,52.5,20,no
284,52.5,20,no
284,52.5,20,no
284,52.5,20,no
283,52.6,20,no
283,52.6,20,no
283,52.6,20,no
283,52.6,20,no
283,52.6,20,no
283,52.6,20,no
283,52.7,20,no
283,52.68,20,no
286,20.87974371,82.00274423,no
286,21.77046169,80.31964408,no
286,23.00445915,82.3207629,no
286,26.49109635,80.15836264,no
286,20.13017482,81.60487287,no
286,23.05804872,83.37011772,no
286,22.70883798,82.63941394,no
286,20.27774362,82.89408619,no
286,24.51588066,83.5352163,no
286,23.22397386,83.03322691,no
286,26.52723513,81.41753846,no
286,23.97898217,81.45061596,no
286,26.80079604,80.88684822,no
286,24.01497622,82.05687182,no
286,25.66585205,80.66385045,no
286,24.28209415,80.30025587,no
286,21.58711777,82.7883708,no
286,23.79391957,80.41817957,no
286,21.8652524,80.1923008,no
286,23.57943626,83.58760316,no
286,21.32504158,80.47476396,no
286,25.15745531,83.11713476,no
286,21.94766735,80.97384195,no
286,21.0525355,82.67839517,no
286,23.48381344,81.33265073,no
286,25.0756354,80.52389148,no
286,26.35927159,84.04403589,no
286,24.52922681,80.54498576,no
286,20.77576147,84.49774397,no
286,22.30157427,80.64416466,no
286,21.44653958,84.94375962,no
286,22.17931888,80.33127223,no
286,24.52783742,82.73685569,no
286,20.26707606,81.63895217,no
286,25.7354293,83.88266234,no
286,26.79533926,82.1480873,no
286,26.75754171,81.17734011,no
286,23.86330467,83.15250801,no
286,21.01944696,82.95221726,no
286,24.17298839,83.7287574,no
286,22.78133816,82.06719137,no
286,25.62980105,83.52842314,no
286,25.59704938,80.14509262,no
286,23.83067496,84.81360127,no
286,26.31355498,82.36698992,no
286,24.8972823,80.52586088,no
286,24.958779,84.47963372,no
286,23.24113501,84.59201843,no
286,21.66628296,80.70960551,no
286,24.63544858,80.41363018,no
286,23.43121862,83.06310136,no
286,20.0454142,80.3477562,no
286,23.85724032,82.22572988,no
286,21.97199397,81.89918197,no
286,26.22916897,83.83625819,no
286,23.44676801,84.79352417,no
286,25.65553461,83.47021081,no
286,24.44345477,82.45432595,no
286,20.2801937,82.1235421,no
286,21.7238313,80.2389895,no
286,20.41447029,82.20802629,no
286,25.75528612,83.51827127,no
286,20.61521424,83.77345559,no
286,21.84106875,80.72886384,no
286,20.08369642,83.29114712,no
286,24.45802087,82.74835604,no
286,21.14347496,80.33502926,no
286,25.78720567,82.11124033,no
286,23.64124821,80.28597873,no
286,23.43191632,80.56887849,no
286,24.97669518,83.891805,no
286,22.72791041,82.1706881,no
286,24.87300744,82.84022551,no
286,21.32376327,83.00320459,no
286,26.29465461,84.56919326,no
286,22.2286982,81.85872947,no
286,26.73072391,81.78596776,no
286,24.88921174,81.97927117,no
286,26.88444878,81.46033732,no
286,22.67846116,83.72874389,no
286,26.08867875,80.37979919,no
286,25.42977518,82.94682591,no
286,26.40323239,81.05635517,no
286,26.04371967,84.96907151,no
286,25.2827223,80.54372813,no
286,22.08576562,83.47038318,no
286,23.28617173,81.43321641,no
286,25.48591986,81.40633547,no
286,23.67575393,81.03569343,no
286,20.82477109,84.1341879,no
286,26.92995077,81.91411159,no
286,23.83509503,83.88387074,no
286,26.52872817,80.12267476,no
286,26.46428311,83.85642678,no
286,22.69657794,82.81088865,no
286,22.68319059,83.46358271,no
286,21.53346343,82.14004101,no
286,21.40865769,83.3293191,no
286,26.54348085,84.67353597,no
286,23.35905428,83.59512273,no
286,22.61359953,63.69070564,no
286,26.10018422,71.57476937,no
286,23.55882094,71.59351368,no
286,19.97215954,57.68272924,no
286,18.47891261,62.69503871,no
286,21.77689322,57.80840636,no
286,25.6217169,66.50415474,no
286,25.19192419,66.6902901,no
286,20.41683147,62.5542482,no
286,24.92162194,66.78627406,no
286,23.31689124,73.4541537,no
286,24.84016732,68.3584573,no
286,22.27526694,58.84015925,no
286,18.87751445,65.76816093,no
286,25.19008683,60.2001687,no
286,18.25405352,55.28220433,no
286,24.6129118,70.4162444,no
286,25.1420613,65.26185135,no
286,23.09348056,60.1159381,no
286,18.05033737,62.89366992,no
286,24.9321581,73.80435276,no
286,18.14710054,71.09445342,no
286,18.28362235,66.65952796,no
286,18.83344471,58.75082029,no
286,25.71895816,67.22190688,no
286,25.33797709,68.49835977,no
286,23.89114571,57.48775781,no
286,21.53574127,71.50905983,no
286,23.08974909,63.10459626,no
286,25.61707368,63.4711755,no
286,21.44526922,63.1621551,no
286,18.51816776,55.53128131,no
286,22.53510514,67.99257471,no
286,23.02038334,61.89472002,no
286,24.89364635,65.61418761,no
286,25.77175115,74.089114,no
286,19.39851734,62.35750641,no
286,21.54156232,59.64024162,no
286,23.79746068,74.82913698,no
286,18.9802729,74.52600826,no
286,24.10859207,73.13112261,no
286,24.7947077,70.04556743,no
286,21.63162756,60.27766379,no
286,25.37548751,57.21025565,no
256,22.21738222,72.85462807,no
256,20.58314011,69.00128641,no
256,24.87502824,68.74248334,no
256,20.03728219,56.35606753,no
256,25.95263264,61.89082199,no
256,19.28889933,65.47050802,no
256,20.57981887,65.34583901,no
256,24.71417533,56.73426469,no
256,20.27317074,63.91281869,no
256,18.41932981,64.23580251,no
307,23.39128187,61.74427165,no
307,19.84939404,61.24500053,no
307,21.869274,61.91044947,no
307,22.8056033,56.50768935,no
307,19.0781471,69.02298571,no
307,22.02720976,65.35549924,no
307,23.80546189,59.24537979,no
307,18.52510753,69.0276233,no
307,23.50297882,61.32026065,no
307,26.54986394,72.89187265,no
307,19.29563411,69.63481219,no
307,20.68899915,59.4375337,no
307,19.32666088,68.034493,no
307,24.60532218,73.58868502,no
307,22.27373646,59.52193158,no
200,25.70196694,61.33450447,no
200,19.20129357,68.30578978,no
200,21.70181447,60.47470519,no
200,20.51716779,59.21235483,no
200,23.30355338,73.62548442,no
200,24.2547451,55.64709899,no
200,24.86374934,65.7420046,no
200,22.6265115,65.77472881,no
200,18.04185513,60.61494304,no
200,23.26237612,72.33125523,no
200,22.88330922,71.59722446,no
200,25.97482359,69.36385721,no
200,26.14384005,66.20569924,no
195,18.66116213,61.55327249,yes
195,25.10787449,55.97732754,yes
195,23.33844615,59.24580604,yes
195,25.08239719,65.92195844,yes
195,25.36768364,72.52054555,yes
195,25.34217103,63.31801994,yes
195,25.00933355,67.816568,yes
195,18.66746724,71.516474,yes
195,20.37999665,63.73849998,yes
195,18.09300227,72.61024172,yes
195,26.16985907,71.96246617,yes
144,18.65396672,61.37879671,yes
144,26.07470121,59.37147589,yes
144,18.92851916,72.80086137,yes
144,23.30546753,63.24648023,yes
144,18.74826712,62.49878458,yes
302,28.30041493,86.20681554,no
302,27.89636126,88.71782287,no
302,28.6899851,87.50436797,no
302,27.8262623,88.73100226,no
302,28.70562673,81.59200689,no
302,28.6362812,84.61431076,no
302,28.28511547,88.4393979,no
302,27.60887393,86.13316408,no
302,28.60901145,86.99495766,no
307,29.24598976,84.80084105,no
307,28.62911222,89.1148059,no
307,29.57329479,88.07505524,no
307,27.82684262,87.16679147,no
307,29.8757015,83.14796296,no
307,27.33684386,88.50229102,no
307,29.83040388,89.30428305,no
307,28.2753171,82.76020821,no
202,29.86860065,85.99127934,no
202,29.5888162,89.9939693,no
202,28.07219563,82.9116472,no
202,27.84026517,89.99615558,no
202,27.10818093,87.4512669,no
202,27.68515114,81.94268594,no
202,29.34594634,85.60472562,no
202,28.36319404,84.8593608,no
202,27.65280218,89.80650642,no
